,n_ranks,n_samples,mem_total,mem_per_proc,mem_max_proc,run_time,run_time_min,run_time_max
0,1,128,662,662.0,662,73.0687221955,66.92332888199999,74.027988021
1,2,256,1321,660.5,661,73.2476757244,67.301072883,74.128656718
2,4,512,2641,660.25,661,73.2198296502,67.112933317,74.140215001
3,8,1024,5280,660.0,662,73.6809376074,67.545368794,74.595579391
4,16,2048,10581,661.3125,665,74.1799691968,67.875428773,75.163404441
5,32,4096,21170,661.5625,665,74.9181387206,69.262739067,76.428576552
6,64,8192,42319,661.234375,666,80.1103000111,72.613376703,84.142310982
