,n_ranks,n_samples,mem_total,mem_per_proc,mem_max_proc,run_time,run_time_min,run_time_max
0,1,128,82,82.0,82,68.24764126790001,67.644950423,69.281865282
1,2,256,159,79.5,80,68.2571945131,68.04326266,68.440812406
2,4,512,324,81.0,82,68.3326512958,68.161259251,68.746576878
3,8,1024,638,79.75,81,68.8504140085,68.390927484,69.974718657
4,16,2048,1283,80.1875,82,69.53054168770001,68.494254119,73.052764124
5,32,4096,2559,79.96875,82,69.1105312054,68.680665355,69.936043882
6,64,8192,5158,80.59375,84,73.1596077743,72.687530188,75.089380605
