time,mass_flux_in,mdot,mdot2
0,122.2645,0.012101767481985,0.012101767481985
1,122.2645,0.0090100515724983,0.0088856351998063
2,122.2645,0.0088578077853296,0.0088856351998063
3,122.2645,0.0087485469344905,0.0088856351998063
4,122.2645,0.0086781938448625,0.0088856351998063
5,122.2645,0.0086416272655429,0.0088856351998063
6,106.37012,0.0086292871226187,0.0088856351998063
7,90.47574,0.0074739624189761,0.007730502987209
8,74.58136,0.0063241931865722,0.0065753707746118
9,58.68698,0.0051768892262597,0.0054202385620145
10,42.7926,0.0040316168893665,0.0042651063494173
