t, dummy, x, y, z, dummy,value, weight_ui, weight_ur
0,0.00059166024067435,1,0,0,-0.5002567930425,-0.49966513280183,1,0
0,0.00040592473009027,2,0,0,-0.50007132416884,-0.49966539943875,1,0
0,0.00021621724886987,3,0,0,-0.00021621724886987,0,1,0
0,2.4394083386063e-05,4,0,0,-2.4394083386063e-05,0,1,0
0,-0.00016766777803255,5,0,0,0.00016766777803255,0,1,0
0,-0.00035808901141932,6,0,0,0.00035808901141932,0,1,0
0,-0.00054500634634138,7,0,0,0.00054500634634138,0,1,0
0,-0.0007265907979878,8,0,0,0.0007265907979878,0,1,0
0,-0.00090106556377302,9,0,0,0.00090106556377302,0,1,0
