density,id,mass_frac_CH4,x,y,z
83.839147294097,100,5.4721975594308e-201,0,-100,0
83.839147293992,98.989898989899,2.7919317219736e-195,0,-98.989898989899,0
83.839147293671,97.979797979798,5.5576082275371e-191,0,-97.979797979798,0
83.839147293117,96.969696969697,8.324390837015e-187,0,-96.969696969697,0
83.839147292302,95.959595959596,1.1092279881952e-182,0,-95.959595959596,0
83.83914729118,94.949494949495,1.3861275694224e-178,0,-94.949494949495,0
83.83914728969,93.939393939394,1.6631378605815e-174,0,-93.939393939394,0
83.839147287754,92.929292929293,1.9402588948787e-170,0,-92.929292929293,0
83.839147285266,91.919191919192,2.2174907055303e-166,0,-91.919191919192,0
83.839147282092,90.909090909091,2.4948333257618e-162,0,-90.909090909091,0
83.839147278061,89.89898989899,2.772286788806e-158,0,-89.89898989899,0
83.839147272956,88.888888888889,3.0498511279042e-154,0,-88.888888888889,0
83.839147266501,87.878787878788,3.3275263763084e-150,0,-87.878787878788,0
83.839147258349,86.868686868687,3.6053125672859e-146,0,-86.868686868687,0
83.839147248061,85.858585858586,3.8832097340926e-142,0,-85.858585858586,0
83.839147235081,84.848484848485,4.1612179100112e-138,0,-84.848484848485,0
83.839147218711,83.838383838384,4.4393371283293e-134,0,-83.838383838384,0
83.839147198068,82.828282828283,4.7175674223431e-130,0,-82.828282828283,0
83.83914717204,81.818181818182,4.9959088253563e-126,0,-81.818181818182,0
83.839147139224,80.808080808081,5.2743613706813e-122,0,-80.808080808081,0
83.839147097853,79.79797979798,5.5529250916902e-118,0,-79.79797979798,0
83.839147045697,78.787878787879,5.8316000216192e-114,0,-78.787878787879,0
83.839146979948,77.777777777778,6.1103861938539e-110,0,-77.777777777778,0
83.839146897062,76.767676767677,6.389283641731e-106,0,-76.767676767677,0
83.839146792576,75.757575757576,6.6682923986313e-102,0,-75.757575757576,0
83.83914666086,74.747474747475,6.9474124979113e-98,0,-74.747474747475,0
83.839146494822,73.737373737374,7.2266439729456e-94,0,-73.737373737374,0
83.839146285517,72.727272727273,7.5059868571179e-90,0,-72.727272727273,0
83.839146021674,71.717171717172,7.7854411838227e-86,0,-71.717171717172,0
83.839145689085,70.707070707071,8.0650069864617e-82,0,-70.707070707071,0
83.839145269838,69.69696969697,8.344684298446e-78,0,-69.69696969697,0
83.839144741358,68.686868686869,8.6244731531957e-74,0,-68.686868686869,0
83.83914407519,67.676767676768,8.9043735841396e-70,0,-67.676767676768,0
83.839143235464,66.666666666667,9.1843856247155e-66,0,-66.666666666667,0
83.839142176971,65.656565656566,9.4645093083702e-62,0,-65.656565656566,0
