time,DP_Planar_mean,DP_SubchannelDelta,Pin_Planar_Mean,Pout_Planar_Mean,Pout_user_provided,T
0,0,0,0,0,200000,0
1,11385.271970974,11385.271970974,11385.271970974,0,200000,606.73315486375
