time,cm3_quartz,massfrac_Cl,massfrac_H2O,massfrac_Na,massfrac_SiO2,porosity,solution_temperature
0,0,0,0,0,0,0,0
100000,8999.98928,0.0035251319097794,0.99415580604336,0.0022859018300129,3.3160216850873e-05,0.10000010720011,50
