time,cumulative_moles_precipitated_quartz,mass_heated_this_timestep,production_temperature
0,0,0,0
100000,0,99999996.64373,50
200000,0,100000000.00244,50.063218906558
300000,0,100000000.00226,50.113013432626
400000,0,100000000.00201,50.18504561736
500000,0,100000000.00175,50.311401185392
600000,0,100000000.00151,50.523176410888
700000,0,100000000.00131,50.850014801038
800000,0,100000000.00114,51.318686575659
900000,0,100000000.001,51.951670710075
1000000,0,100000000.00088,52.766123243911
1100000,0,100000000.00079,53.77333401858
1200000,0,100000000.00071,54.978641458261
1300000,0,100000000.00065,56.381719375132
1400000,0,100000000.00059,57.97713398915
1500000,0,100000000.00054,59.75507364606
1600000,0,100000000.0005,61.702167282219
1700000,0,100000000.00046,63.802324549199
1800000,0,100000000.00043,66.037547430465
1900000,0,100000000.0004,68.388678494361
2000000,0,100000000.00038,70.836063898008
