diffusivity_values,grad_diffusivity_values,measurement_time,measurement_values,measurement_xcoord,measurement_ycoord,measurement_zcoord,misfit_values,simulation_values
4.9999974691093,-8.1394351877842e-05,0,64.770660861834,-2,-2,2,-3.2548311835967e-05,64.770628313522
10.000054725979,0.00016946312684047,0,64.505361497692,-1.5555555555556,-1.5555555555556,2,-3.3232683449569e-05,64.505328265009
0,0,0,62.889512287568,-1.1111111111111,-1.1111111111111,2,-3.0629810382266e-05,62.889481657758
0,0,0,59.308468440716,-0.66666666666667,-0.66666666666667,2,-2.1277764368222e-05,59.308447162952
0,0,0,53.958257199388,-0.22222222222222,-0.22222222222222,2,-5.3643294108952e-06,53.958251835059
0,0,0,47.847987835188,0.22222222222222,0.22222222222222,2,1.3438448974057e-05,47.848001273637
0,0,0,42.49777659386,0.66666666666667,0.66666666666667,2,2.9351883753748e-05,42.497805945744
0,0,0,38.916732747007,1.1111111111111,1.1111111111111,2,3.8703930727024e-05,38.916771450938
0,0,0,37.300883536884,1.5555555555556,1.5555555555556,2,4.1306802785357e-05,37.300924843687
0,0,0,37.035584172742,2,2,2,4.0622431122017e-05,37.035624795173
