time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,20,0,0,0,0,0,0,0
1,0.00047806864553001,20,822,0.41076237722712,-0.11802696616941,-0.097288904761563,0.090723061453761,0.021163628781239,-0.016382942325939
