time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,6,0,0,0,0,0,0,0
1,-0.00052361485868931,6,838,0.38066728528723,-0.097753457430488,-0.071832028500452,-0.020378491086175,0.0032438561754586,-0.0068580766746224
