time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,15,0,0,0,0,0,0,0
1,0.99623645259666,15,718,0.61016808834501,-0.086409185149916,-0.13032692974307,0.015673059799497,0.080774128766217,0.012096810297827
