time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,120,0,0,0,0,0,0,0
1,0.4354994905084,120,2764,0.39303941217721,-0.1030135432844,-0.08976236239876,0.055297754441782,0.070271888731521,0.0076741601861742
