time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,20,0,0,0,0,0,0,0
1,0.0050763846848547,20,836,0.38276192383155,-0.10346262760022,-0.084620418997451,0.073852671217249,0.060432233841675,-0.0096683869931276
