time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,50,0,0,0,0,0,0,0
1,0.15100634180168,50,1653,0.39026830824599,-0.11236650571745,-0.078417936683752,0.018674305895249,0.057017801917866,-0.0051469426037109
