time,dis_x,grain_tracker,memory,global_strain_0,global_strain_1,global_strain_2,global_strain_3,global_strain_4,global_strain_5
0,0,40,0,0,0,0,0,0,0
1,0.0056200362708595,40,1647,0.3874358087197,-0.11441913563848,-0.076575851843284,-0.014863233168796,0.029064449100994,-0.0038570709867848
