# https://www.engineeringtoolbox.com/specific-heat-capacity-water-d_660.html
# Temp (C), Specific Heat (J/(kg K))
0.01,4217.4
10,4191.0
20,4157.0
30,4137.9
40,4117.5
50,4073.7
60,4026.4
70,3976.7
80,3925.2
90,3872.9
100,3768.2
