temp_center_inner,temp_center_outer,temp_end_inner,temp_end_outer,dispx_center_inner,dispx_center_outer,dispx_end_inner,dispx_end_outer,dispz_inner,dispz_outer
1614.2292887128,1553.7750540324,1341.003936872,1345.1173390302,0.001067305680166,0.0013223208656376,0.0011176208669123,0.0012695809237992,0.0016253326474956,0.0013221805785194
907.16086999375,873.18693796872,753.61431399123,755.92595429319,0.00059980199599818,0.00074311484450836,0.0006280780091407,0.00071347617306556,0.00091340071007324,0.00074303600627574
-2009.2737516856,-1934.0247720201,-1669.1829531928,-1674.3030133009,-0.0013285035175471,-0.0016459276418844,-0.0013911321569525,-0.0015802808458919,-0.002023094395081,-0.00164575302281
-334.72798127031,-322.192138887,-278.07173603116,-278.92469465988,-0.00022131742883019,-0.00027419759822312,-0.00023175082946577,-0.00026326139827476,-0.00033703038334953,-0.00027416850816498
1575.8300088968,1516.8138593074,1309.1041406248,1313.1196931889,0.0010419166169465,0.0012908655022136,0.0010910349062332,0.0012393801378992,0.0015866692410256,0.0012907285522448
1614.7435612085,1554.2700665937,1341.4311633176,1345.5458759523,0.0010676457099001,0.0013227421398992,0.0011179769264117,0.0012699853958,0.0016258504573772,0.0013226018080874
-2786.6496492891,-2682.28729318,-2314.9797717767,-2322.0807522641,-0.0018424935169467,-0.0022827271207642,-0.0019293527992562,-0.0021916819752851,-0.0028058174162688,-0.0022824849426229
3585.7262198794,3451.4377790041,2978.804195306,2987.9413941379,0.0023708316958176,0.0029373030412496,0.0024825980264349,0.0028201505440133,0.0036103903769446,0.0029369914181106
1988.9376704856,1914.450294041,1652.2889684656,1657.3572078808,0.0013150575869542,0.0016292690267273,0.0013770523549943,0.0015642866491958,0.0020026184336252,0.0016290961749918
-2038.6700181274,-1962.320123739,-1693.6035911427,-1698.7985592373,-0.0013479399150703,-0.0016700080477843,-0.0014114848299057,-0.0016034008198425,-0.0020526928616039,-0.0016698308739815
