time,TTC-31,post_func,report_pressure_outlet
-1,624.70556,494882.14285715,200000
-0.9,838.87767755517,494882.14285715,200000
-0.78,839.55839214688,494882.14285715,200000
-0.636,839.52284823268,494882.14285715,200000
-0.4632,839.08861390496,494882.14285715,200000
-0.25584,839.06569650003,494882.14285715,200000
-0.0070080000000001,839.05697312398,494882.14285715,200000
0.2915904,792.6867731395,379192.99347788,200000
0.64990848,732.3460075153,237029.48644056,200000
1.079890176,670.26262051414,97060.220014236,200000
1.5958682112,668.81667511907,90151.686301256,200000
2.21504185344,667.43584350522,82969.797963434,200000
2.958050224128,667.03702955029,76851.065793747,200000
3.8496602689536,666.86917332507,70394.580906137,200000
4.9195923227443,666.68810061757,64294.675468898,200000
6.2035107872932,670.3772717825,59261.944360266,200000
7.7442129447518,677.35337241126,53718.250084821,200000
9.5930555337022,683.07294542434,49054.816953941,200000
11.811666640443,687.43503921479,45086.248183832,200000
14.473999968531,689.65936544392,40762.670785451,200000
17.668799962237,695.76052574521,37387.928663218,200000
21.502559954685,703.75943377438,33767.162472714,200000
26.103071945622,717.96919340469,30667.20468878,200000
31.623686334746,740.99641379044,27646.016834926,200000
38.248423601695,790.56130734869,24841.954294764,200000
46.198108322034,894.77176623258,22226.645590205,200000
55.737729986441,906.93315534783,19838.103223181,200000
67.18527598373,878.57170475521,17965.938926321,200000
80.922331180476,844.82819336628,16146.434113083,200000
97.406797416571,814.65883073474,14432.224969185,200000
117.18815689988,798.60188454505,13065.223106296,200000
140.92578827986,784.75061948301,12057.484589032,200000
169.41094593583,766.28087222472,10950.213226934,200000
203.593135123,751.79200042996,10130.992799704,200000
244.6117621476,740.16938565263,9448.8973580503,200000
293.83411457712,731.46584921156,8881.9740748148,200000
352.90093749255,723.76364332223,8353.9893992652,200000
423.78112499105,719.73235840117,7925.3639046979,200000
508.83734998927,714.39855697783,7435.5425387556,200000
610.90481998712,709.54284510558,7036.2203613979,200000
733.38578398454,703.57740932229,6545.7558846265,200000
880.36294078145,698.19736961067,6103.2786726724,200000
900,697.51068869402,6046.7357731393,200000
