x,y,z,id,head_change
-50,0,-75,0,0
-49,0,-75,1,-0.00015339569720716
-48,0,-75,2,-0.00030679139441432
-47,0,-75,3,-0.00046018709162148
-46,0,-75,4,-0.00061358278882864
-45,0,-75,5,-0.0007669784860358
-44,0,-75,6,-0.0010845711029724
-43,0,-75,7,-0.001402163719909
-42,0,-75,8,-0.0017197563368455
-41,0,-75,9,-0.0020373489537821
-40,0,-75,10,-0.0023549415707187
-39,0,-75,11,-0.0031610111992869
-38,0,-75,12,-0.0039670808278551
-37,0,-75,13,-0.0047731504564233
-36,0,-75,14,-0.0055792200849915
-35,0,-75,15,-0.0063852897135597
-34,0,-75,16,-0.0085187429770354
-33,0,-75,17,-0.010652196240511
-32,0,-75,18,-0.012785649503987
-31,0,-75,19,-0.014919102767463
-30,0,-75,20,-0.017052556030938
-29,0,-75,21,-0.022784794350768
-28,0,-75,22,-0.028517032670598
-27,0,-75,23,-0.034249270990428
-26,0,-75,24,-0.039981509310259
-25,0,-75,25,-0.045713747630089
-24,0,-75,26,-0.061511732849236
-23,0,-75,27,-0.077309718068384
-22,0,-75,28,-0.093107703287532
-21,0,-75,29,-0.10890568850668
-20,0,-75,30,-0.12470367372583
-19,0,-75,31,-0.16848108761704
-18,0,-75,32,-0.21225850150825
-17,0,-75,33,-0.25603591539946
-16,0,-75,34,-0.29981332929066
-15,0,-75,35,-0.34359074318187
-14,0,-75,36,-0.48263642035836
-13,0,-75,37,-0.62168209753485
-12,0,-75,38,-0.76072777471134
-11,0,-75,39,-0.89977345188784
-10,0,-75,40,-1.0388191290643
-9,0,-75,41,-1.3924565933783
-8,0,-75,42,-1.7460940576923
-7,0,-75,43,-2.0997315220063
-6,0,-75,44,-2.4533689863202
-5,0,-75,45,-2.8070064506342
-4,0,-75,46,-5.8566103496004
-3,0,-75,47,-8.9062142485665
-2,0,-75,48,-11.955818147533
-1,0,-75,49,-15.005422046499
0,0,-75,50,-18.055025945465
1,0,-75,51,-15.005422095275
2,0,-75,52,-11.955818245085
3,0,-75,53,-8.9062143948944
4,0,-75,54,-5.8566105447042
5,0,-75,55,-2.8070066945141
6,0,-75,56,-2.4533692788904
7,0,-75,57,-2.0997318632667
8,0,-75,58,-1.746094447643
9,0,-75,59,-1.3924570320193
10,0,-75,60,-1.0388196163956
11,0,-75,61,-0.89977398765413
12,0,-75,62,-0.76072835891265
13,0,-75,63,-0.62168273017116
14,0,-75,64,-0.48263710142968
15,0,-75,65,-0.3435914726882
16,0,-75,66,-0.29981410655831
17,0,-75,67,-0.25603674042842
18,0,-75,68,-0.21225937429852
19,0,-75,69,-0.16848200816863
20,0,-75,70,-0.12470464203874
21,0,-75,71,-0.10890670283798
22,0,-75,72,-0.093108763637224
23,0,-75,73,-0.077310824436466
24,0,-75,74,-0.061512885235707
25,0,-75,75,-0.045714946034948
26,0,-75,76,-0.039982749260982
27,0,-75,77,-0.034250552487016
28,0,-75,78,-0.028518355713049
29,0,-75,79,-0.022786158939083
30,0,-75,80,-0.017053962165116
31,0,-75,81,-0.014920539084681
32,0,-75,82,-0.012787116004246
33,0,-75,83,-0.01065369292381
34,0,-75,84,-0.0085202698433751
35,0,-75,85,-0.0063868467629398
36,0,-75,86,-0.0055807787857795
37,0,-75,87,-0.0047747108086192
38,0,-75,88,-0.0039686428314589
39,0,-75,89,-0.0031625748542986
40,0,-75,90,-0.0023565068771383
41,0,-75,91,-0.0020388450484415
42,0,-75,92,-0.0017211832197447
43,0,-75,93,-0.0014035213910478
44,0,-75,94,-0.001085859562351
45,0,-75,95,-0.00076819773365422
46,0,-75,96,-0.00061455818692338
47,0,-75,97,-0.00046091864019253
48,0,-75,98,-0.00030727909346169
49,0,-75,99,-0.00015363954673084
50,0,-75,100,0
