x,y,z,id,head_change
-50,0,-75,0,0
-49,0,-75,1,5.928569003899e-06
-48,0,-75,2,1.1857138007798e-05
-47,0,-75,3,1.7785707011697e-05
-46,0,-75,4,2.3714276015596e-05
-45,0,-75,5,2.9642845019495e-05
-44,0,-75,6,3.1956409925016e-05
-43,0,-75,7,3.4269974830536e-05
-42,0,-75,8,3.6583539736057e-05
-41,0,-75,9,3.8897104641578e-05
-40,0,-75,10,4.1210669547098e-05
-39,0,-75,11,4.1980661128349e-05
-38,0,-75,12,4.27506527096e-05
-37,0,-75,13,4.3520644290851e-05
-36,0,-75,14,4.4290635872102e-05
-35,0,-75,15,4.5060627453353e-05
-34,0,-75,16,4.5047005136567e-05
-33,0,-75,17,4.5033382819781e-05
-32,0,-75,18,4.5019760502996e-05
-31,0,-75,19,4.500613818621e-05
-30,0,-75,20,4.4992515869424e-05
-29,0,-75,21,4.4343483411069e-05
-28,0,-75,22,4.3694450952714e-05
-27,0,-75,23,4.3045418494359e-05
-26,0,-75,24,4.2396386036003e-05
-25,0,-75,25,4.1747353577648e-05
-24,0,-75,26,4.0285882388602e-05
-23,0,-75,27,3.8824411199556e-05
-22,0,-75,28,3.736294001051e-05
-21,0,-75,29,3.5901468821464e-05
-20,0,-75,30,3.4439997632418e-05
-19,0,-75,31,3.1886187323238e-05
-18,0,-75,32,2.9332377014057e-05
-17,0,-75,33,2.6778566704877e-05
-16,0,-75,34,2.4224756395697e-05
-15,0,-75,35,2.1670946086516e-05
-14,0,-75,36,1.9978069021676e-05
-13,0,-75,37,1.8285191956835e-05
-12,0,-75,38,1.6592314891994e-05
-11,0,-75,39,1.4899437827154e-05
-10,0,-75,40,1.3206560762313e-05
-9,0,-75,41,1.5619639615139e-05
-8,0,-75,42,1.8032718467964e-05
-7,0,-75,43,2.0445797320789e-05
-6,0,-75,44,2.2858876173615e-05
-5,0,-75,45,2.527195502644e-05
-4,0,-75,46,0.0002139277717589
-3,0,-75,47,0.00040258358849137
-2,0,-75,48,0.00059123940522383
-1,0,-75,49,0.00077989522195629
0,0,-75,50,0.00096855103868876
1,0,-75,51,0.00077984644598637
2,0,-75,52,0.00059114185328397
3,0,-75,53,0.00040243726058158
4,0,-75,54,0.00021373266787919
5,0,-75,55,2.5028075176793e-05
6,0,-75,56,2.2566306036964e-05
7,0,-75,57,2.0104536897136e-05
8,0,-75,58,1.7642767757309e-05
9,0,-75,59,1.5180998617481e-05
10,0,-75,60,1.2719229477653e-05
11,0,-75,61,1.4363671534312e-05
12,0,-75,62,1.6008113590971e-05
13,0,-75,63,1.7652555647629e-05
14,0,-75,64,1.9296997704288e-05
15,0,-75,65,2.0941439760946e-05
16,0,-75,66,2.3447488752382e-05
17,0,-75,67,2.5953537743817e-05
18,0,-75,68,2.8459586735252e-05
19,0,-75,69,3.0965635726687e-05
20,0,-75,70,3.3471684718123e-05
21,0,-75,71,3.4887137518069e-05
22,0,-75,72,3.6302590318016e-05
23,0,-75,73,3.7718043117962e-05
24,0,-75,74,3.9133495917909e-05
25,0,-75,75,4.0548948717856e-05
26,0,-75,76,4.1156435313994e-05
27,0,-75,77,4.1763921910132e-05
28,0,-75,78,4.237140850627e-05
29,0,-75,79,4.2978895102408e-05
30,0,-75,80,4.3586381698546e-05
31,0,-75,81,4.3569820974909e-05
32,0,-75,82,4.3553260251272e-05
33,0,-75,83,4.3536699527635e-05
34,0,-75,84,4.3520138803999e-05
35,0,-75,85,4.3503578080362e-05
36,0,-75,86,4.2731935091211e-05
37,0,-75,87,4.1960292102061e-05
38,0,-75,88,4.1188649112911e-05
39,0,-75,89,4.0417006123761e-05
40,0,-75,90,3.9645363134611e-05
41,0,-75,91,3.7401009987903e-05
42,0,-75,92,3.5156656841195e-05
43,0,-75,93,3.2912303694488e-05
44,0,-75,94,3.066795054778e-05
45,0,-75,95,2.8423597401073e-05
46,0,-75,96,2.2738877920858e-05
47,0,-75,97,1.7054158440644e-05
48,0,-75,98,1.1369438960429e-05
49,0,-75,99,5.6847194802145e-06
50,0,-75,100,0
