id,tracer,x,y,z
0,0.0080905079371401,-0.5,0,0
0.025,0.10338820863472,-0.475,0,0
0.05,0.19032791201052,-0.45,0,0
0.075,0.24612327252706,-0.425,0,0
0.1,0.20973456111497,-0.4,0,0
0.125,0.23270464143463,-0.375,0,0
0.15,0.39309021027997,-0.35,0,0
0.175,0.5534757791253,-0.325,0,0
0.2,0.64673946035075,-0.3,0,0
0.225,0.69495344527996,-0.275,0,0
0.25,0.66493523954765,-0.25,0,0
0.275,0.70111446920639,-0.225,0,0
0.3,0.77083390533705,-0.2,0,0
0.325,0.7729465535632,-0.175,0,0
0.35,0.84267711310277,-0.15,0,0
0.375,0.94576813397834,-0.125,0,0
0.4,0.84163229551847,-0.1,0,0
0.425,0.72023920139685,-0.075,0,0
0.45,0.63636233023463,-0.05,0,0
0.475,0.70712444277156,-0.025,0,0
0.5,0.72950601811468,0,0,0
0.525,0.746884314151,0.025,0,0
0.55,0.76725851964128,0.05,0,0
0.575,0.79268229278726,0.075,0,0
0.6,0.75381542785156,0.1,0,0
0.625,0.68751590065098,0.125,0,0
0.65,0.62448441099086,0.15,0,0
0.675,0.56144509703261,0.175,0,0
0.7,0.53778091868544,0.2,0,0
0.725,0.46402300685836,0.225,0,0
0.75,0.34715270499044,0.25,0,0
0.775,0.25418696794299,0.275,0,0
0.8,0.2033571161209,0.3,0,0
0.825,0.18612146399456,0.325,0,0
0.85,0.16442278641126,0.35,0,0
0.875,0.13505054302453,0.375,0,0
0.9,0.070575552717941,0.4,0,0
0.925,0.064715426735344,0.425,0,0
0.95,0.069839338815135,0.45,0,0
0.975,0.092267453723968,0.475,0,0
1,5.1996560876565e-09,0.5,0,0
